Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4707634458245031552,4.4471857,-66.3589292,7.606,0.929,0.0,0.0,0.0,30.64,30.64,0.13,12.493,G8.6,,,0.978,,Gaia_DR3,64.729,-5.138,64.729,0.018,-5.138,0.019
Gaia,DR3,4707177503791637504,5.7211543,-66.753286,14.298,2.428,2.911,0.6422,5.5589,30.87,39.92,3.97,13.414,M2.8,,,59.195,,Gaia_DR3,68.819,-3.506,76.938,0.782,-2.161,0.689
Gaia,DR3,4705980243000615680,16.4106361,-65.6647837,13.882,2.385,1.479,4.9052,7.4258,32.62,20.61,1.64,13.009,M2.7,,,7.991,,Gaia_DR3,59.964,5.791,58.612,0.106,9.617,0.101
Gaia,DR3,4705980238705783424,16.4141,-65.6626591,19.386,1.084,1.243,4.9071,7.5424,32.62,,,13.057,K1.9,,,0.943,,,60.183,5.813,61.162,0.271,9.091,0.267
Gaia,DR3,4706915034042945024,6.2491081,-67.2357251,15.587,2.559,4.666,1.1281,7.8798,30.96,-58.18,8.23,13.83,M3.2,,,1.102,,Gaia_DR3,70.655,-2.255,84.239,0.029,-1.488,0.027
Gaia,DR3,6488082639354074624,358.4739811,-61.1955233,14.826,2.579,4.279,5.793,10.0761,29.08,-7.56,4.06,13.585,M3.2,,,1.151,,Gaia_DR3,73.133,-20.028,85.387,0.022,-20.146,0.024
Gaia,DR3,4902565397264053120,11.1660763,-61.6727497,16.509,3.035,2.654,5.5274,10.8001,31.71,,,11.464,M4.2,,,0.949,,,56.014,-4.789,49.664,0.049,-3.879,0.05
Gaia,DR3,4900526799627167488,7.5366471,-64.1921524,17.633,0.144,4.505,2.5222,10.8223,31.12,,,11.087,A3.7,,,0.98,,,56.034,-4.511,66.153,0.074,-1.6,0.079
Gaia,DR3,4901022954249155712,9.4101252,-62.2553909,16.024,3.081,4.497,4.6302,11.5824,31.39,,,14.251,M4.3,,,1.109,,,70.829,-6.889,57.886,0.038,-10.761,0.043
Gaia,DR3,4905552667278031872,0.4180295,-61.705032,12.218,1.911,2.846,4.9746,11.6477,29.55,16.42,0.34,14.207,M0.4,,,1.203,,Gaia_DR3,75.637,-17.897,79.073,0.011,-25.697,0.013
Gaia,DR3,4709659513849934080,10.8686255,-64.6085189,20.457,2.528,2.816,3.1858,11.6999,31.72,,,11.021,M3.1,,,1.047,,,54.009,-1.075,47.665,0.581,0.524,0.748
Gaia,DR3,4688486635054038400,5.3860819,-73.7296314,17.157,3.347,3.959,7.3774,11.9454,30.75,,,11.7,M5.0,,,1.0,,,60.187,5.88,51.308,0.077,1.815,0.076
Gaia,DR3,4918806107423681920,4.6915643,-57.6499893,18.511,3.831,2.57,8.7097,12.2373,30.05,,,12.375,M5.8,,,1.007,,,64.0,-16.912,60.28,0.202,-11.333,0.176
Gaia,DR3,4904168863174876160,13.9069418,-59.0723717,14.955,2.528,4.79,8.4589,12.2647,32.15,43.92,2.85,13.203,M3.1,,,1.005,,Gaia_DR3,62.67,-6.907,62.264,0.022,6.419,0.023
Gaia,DR3,6391109836952642944,343.9176746,-67.3026657,13.231,2.157,3.381,8.0944,13.4619,27.09,-16.21,1.89,11.546,M1.4,,,0.956,,Gaia_DR3,64.993,-24.371,71.983,0.028,-28.712,0.028
Gaia,DR3,6391109940031856384,343.9324128,-67.2975401,14.942,2.753,3.394,8.0889,13.4761,27.09,-17.52,2.76,11.541,M3.6,,,1.133,,Gaia_DR3,64.963,-24.351,72.492,0.024,-27.745,0.024
Gaia,DR3,6392002262437429248,340.8732407,-66.1198425,13.943,2.532,2.425,9.4451,13.6696,26.3,-6.33,1.66,12.086,M3.1,,,1.352,,Gaia_DR3,68.098,-30.238,70.155,0.018,-36.065,0.02
Gaia,DR3,4702410678501787776,6.9878301,-70.219107,8.99,0.756,0.072,3.9721,14.3047,31.07,21.51,0.2,10.749,F9.4,,,1.018,,Gaia_DR3,54.578,2.568,54.655,0.016,2.423,0.016
Gaia,DR3,6385012976257415680,338.296042,-70.2262227,15.406,2.908,2.296,10.3158,14.3641,26.68,,,12.852,M3.9,,,1.353,,,72.318,-30.03,67.748,0.04,-34.25,0.039
Gaia,DR3,4702410678501787520,6.9753648,-70.2170379,14.782,2.481,0.651,3.969,14.4538,31.07,23.31,2.92,10.73,M3.0,,,1.023,,Gaia_DR3,54.488,2.55,53.019,0.023,2.631,0.02
Gaia,DR3,6495461324448966144,355.6904719,-57.9152718,14.329,2.47,3.469,9.3628,14.637,27.97,11.6,1.88,11.674,M2.9,,,1.192,,Gaia_DR3,63.716,-23.886,71.228,0.016,-19.83,0.018
Gaia,DR3,4698134849580226176,30.1122275,-66.7320843,10.355,1.129,2.156,10.1498,14.7671,34.45,10.4,2.24,13.438,K2.2,,,11.204,,Gaia_DR3,49.859,20.043,55.087,0.322,16.887,0.325
