Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6294955311720593024,207.2061207,-17.6098986,14.173,1.145,0.0,0.0,0.0,-26.73,-26.73,3.63,2.365,,,,1.1,,Gaia_DR3,-23.129,-0.175,-23.129,0.027,-0.175,0.021
Gaia,DR3,6293496706467071232,205.941705,-17.6793116,15.508,1.551,1.841,1.2069,8.9232,-25.75,,,2.368,,,,1.07,,,-23.439,-0.035,-24.267,0.049,0.363,0.034
Gaia,DR3,6295182665813461120,207.4604998,-16.4869695,17.866,2.61,1.346,1.149,14.7649,-26.93,,,2.435,,,,1.026,,,-23.756,0.059,-23.435,0.195,-0.553,0.174
Gaia,DR3,6294199844153026816,207.3003322,-17.7202432,19.188,2.817,2.378,0.1422,15.3723,-26.8,,,2.282,,,,1.026,,,-22.299,-0.205,-21.611,0.388,0.709,0.296
Gaia,DR3,6295515302441481600,208.6219143,-16.3687096,18.3,2.754,2.91,1.8368,18.9804,-27.82,,,2.443,,,,0.929,,,-23.559,-0.047,-24.48,0.212,1.135,0.216
Gaia,DR3,6294488019278676736,210.3215175,-17.422296,14.724,1.31,2.418,2.9768,24.0832,-29.1,-18.16,11.17,2.314,,,,1.061,,Gaia_DR3,-21.919,-0.491,-23.011,0.031,-0.937,0.024
Gaia,DR3,6293814808924853632,208.1031364,-18.9083807,14.623,1.282,1.293,1.553,24.7193,-27.4,-18.61,5.14,2.495,,,,1.085,,Gaia_DR3,-24.188,-0.626,-23.675,0.027,-0.18,0.028
Gaia,DR3,6295149783544390912,206.9343651,-16.7918376,19.029,2.726,2.08,0.8583,25.6128,-26.52,,,2.234,,,,1.084,,,-21.906,0.045,-21.0,0.388,-0.327,0.305
Gaia,DR3,6294598279679221120,210.2150982,-16.6837327,19.426,2.607,2.283,3.0207,27.0598,-29.03,,,2.457,,,,1.105,,,-23.305,-0.315,-23.014,0.408,-1.461,0.291
Gaia,DR3,6293923385697165696,208.8234614,-18.6868456,18.321,2.662,2.866,1.8766,27.3505,-27.95,,,2.506,,,,0.921,,,-24.117,-0.67,-23.739,0.22,-2.137,0.183
Gaia,DR3,3603785154017791232,203.3784191,-16.8728294,17.932,2.325,2.017,3.7292,27.5332,-23.71,,,2.376,,,,1.023,,,-24.049,0.456,-24.711,0.148,1.219,0.08
Gaia,DR3,6292835620805623936,204.945232,-19.6351524,17.075,2.06,2.708,2.9481,28.8359,-24.96,,,2.266,,,,0.979,,,-22.631,-0.322,-23.918,0.111,-0.192,0.084
Gaia,DR3,6292051364072577280,204.9980068,-19.9346724,13.736,1.09,1.489,3.1264,29.0092,-24.99,-19.99,2.42,2.471,,,,1.02,,Gaia_DR3,-24.666,-0.427,-24.142,0.024,0.145,0.018
Gaia,DR3,6292426847293607296,206.2316472,-19.5345564,15.766,1.751,2.383,2.1348,29.1879,-25.95,,,2.512,,,,0.879,,,-24.801,-0.521,-25.795,0.054,-1.298,0.056
Gaia,DR3,3605314432957690880,206.3736476,-15.8186399,12.292,0.85,1.618,1.9607,29.5076,-26.07,-15.39,1.29,2.519,,,,0.905,,Gaia_DR3,-24.837,0.356,-24.061,0.018,0.725,0.014
